,Civilian labor force estimates,Civilian labor force error,Unemployment estimates,Unemployment error,Employed estimates,Employed error,"Agriculture, forestry, fishing and hunting, and mining estimates","Agriculture, forestry, fishing and hunting, and mining error",Construction estimates,Construction error,Manufacturing estimates,Manufacturing error,Wholesale trade estimates,Wholesale trade error,Retail trade estimates,Retail trade error,"Transportation and warehousing, and utilities estimates","Transportation and warehousing, and utilities error",Information estimates,Information error,"Finance and insurance, and real estate and rental and leasing estimates","Finance and insurance, and real estate and rental and leasing error","Professional, scientific, and management, and administrative and waste management services estimates","Professional, scientific, and management, and administrative and waste management services error","Educational services, and health care and social assistance estimates","Educational services, and health care and social assistance error","Arts, entertainment, and recreation, and accommodation and food services estimates","Arts, entertainment, and recreation, and accommodation and food services error","Other services, except public administration estimates","Other services, except public administration error",Public administration estimates,Public administration error,Total households estimates,Total households error,"Less than 10,000 estimates","Less than 10,000 error","10,000 to 14,999 estimates","10,000 to 14,999 error","15,000 to 24,999 estimates","15,000 to 24,999 error","25,000 to 34,999 estimates","25,000 to 34,999 error","35,000 to 49,999 estimates","35,000 to 49,999 error","50,000 to 74,999 estimates","50,000 to 74,999 error","75,000 to 99,999 estimates","75,000 to 99,999 error","100,000 to 149,999 estimates","100,000 to 149,999 error","150,000 to 199,999 estimates","150,000 to 199,999 error","200,000 or more estimates","200,000 or more error"
1,666788,8260,67584,5163,599204,8654,953,757,28897,3596,20031,2827,9801,2062,67166,4729,51115,4304,8023,1474,37250,4005,55281,3613,194273,8850,70925,5687,32057,3421,23432,2707,507370,2944,76862,5176,44578,3563,64122,4105,52030,4326,63280,4821,78932,4880,49680,4081,44525,3409,17938,2152,15423,2006
2,1300711,7713,63329,4311,1237382,8425,944,552,63542,4434,38512,3242,26520,2700,107402,5565,86067,4553,54744,3987,90441,4983,183131,6964,346975,7976,125747,5413,65353,4364,48004,2799,969317,5651,88792,5198,58010,4015,92492,5139,76802,4435,99621,5375,135502,5749,108389,5418,138728,4824,74552,4431,96429,4334
3,948539,10316,46659,4173,901880,9870,1113,557,19069,3456,22918,3096,17066,3317,58324,5432,25591,3873,54767,4616,145209,6797,195150,8753,209196,7602,93400,7514,39568,4391,20509,3232,752258,9358,63965,5031,37382,4597,59146,5348,38977,4221,57562,5022,85761,6824,72674,5570,105852,6178,60381,4832,170558,5603
4,1202385,8993,62447,4667,1139938,9197,351,275,90264,5228,35921,3023,21326,2351,106909,5295,108870,5873,27021,2546,88089,4685,131963,5521,275695,6120,133458,7820,71553,4716,48518,3814,788110,4493,43159,3513,31741,3376,64251,4011,65150,4581,86634,5134,132482,5506,102014,4786,137163,3896,64162,3849,61354,3628
5,224531,5189,9201,2107,215330,5241,131,155,18462,2784,5804,1182,4540,1287,20135,2724,16132,2181,5074,1317,20311,2690,25022,2626,63440,4279,14825,2348,8111,2050,13343,1947,167441,2183,11541,1877,6933,1731,10815,1895,9517,1719,14030,2168,22603,2380,20925,2386,32274,2655,20648,2215,18155,2330
