NTACode,NTACode,NTACode,Civilian labor force estimates,Civilian labor force error,Unemployment estimates,Unemployment error,Employed estimates,Employed error,"Agriculture, forestry, fishing and hunting, and mining estimates","Agriculture, forestry, fishing and hunting, and mining error",Construction estimates,Construction error,Manufacturing estimates,Manufacturing error,Wholesale trade estimates,Wholesale trade error,Retail trade estimates,Retail trade error,"Transportation and warehousing, and utilities estimates","Transportation and warehousing, and utilities error",Information estimates,Information error,"Finance and insurance, and real estate and rental and leasing estimates","Finance and insurance, and real estate and rental and leasing error","Professional, scientific, and management, and administrative and waste management services estimates","Professional, scientific, and management, and administrative and waste management services error","Educational services, and health care and social assistance estimates","Educational services, and health care and social assistance error","Arts, entertainment, and recreation, and accommodation and food services estimates","Arts, entertainment, and recreation, and accommodation and food services error","Other services, except public administration estimates","Other services, except public administration error",Public administration estimates,Public administration error,Total households estimates,Total households error,"Less than 10,000 estimates","Less than 10,000 error","10,000 to 14,999 estimates","10,000 to 14,999 error","15,000 to 24,999 estimates","15,000 to 24,999 error","25,000 to 34,999 estimates","25,000 to 34,999 error","35,000 to 49,999 estimates","35,000 to 49,999 error","50,000 to 74,999 estimates","50,000 to 74,999 error","75,000 to 99,999 estimates","75,000 to 99,999 error","100,000 to 149,999 estimates","100,000 to 149,999 error","150,000 to 199,999 estimates","150,000 to 199,999 error","200,000 or more estimates","200,000 or more error"
BX31,BX31,BX31,15835,2688,948,655,14887,2534,41,177,755,578,452,426,259,291,1573,826,1353,920,230,261,973,661,1240,658,5923,1681,915,584,747,530,426,378,9634,576,510,396,389,382,838,606,726,461,1073,568,1476,670,1372,658,1784,752,759,445,707,443
BX33,BX33,BX33,11945,1614,1579,703,10366,1501,0,80,338,292,318,268,334,281,1453,596,822,459,80,123,648,399,962,493,2990,824,1469,750,589,375,363,283,9183,464,1537,543,1385,516,1241,516,1255,469,1222,497,1115,450,639,350,542,309,133,163,114,126
BX34,BX34,BX34,17344,2553,1873,1020,15471,2568,0,121,609,488,510,406,236,317,1918,873,1282,783,199,275,961,675,1139,754,4662,1360,2611,1554,869,629,475,421,14725,718,2986,1071,1898,850,2063,887,1960,871,1968,841,1718,804,1054,708,574,433,272,261,232,286
BX35,BX35,BX35,18100,2762,1990,911,16110,2605,29,148,656,527,472,452,327,316,1600,790,1367,731,146,208,1018,647,1636,904,5608,1455,1648,953,906,599,697,461,14449,697,2446,831,1570,729,2632,910,1562,727,1847,801,1851,777,1172,628,965,564,188,233,216,275
BX36,BX36,BX36,23818,3420,2817,1335,21001,3249,21,213,1010,856,693,600,462,532,2523,1219,1847,994,401,562,1231,911,1737,975,6764,1814,2473,1519,1151,798,688,570,19291,862,3502,1233,3168,1159,3077,1216,2102,934,2336,1048,2506,1049,1322,814,806,590,325,395,147,274
BX37,BX37,BX37,13964,2199,1442,755,12522,2002,0,144,741,511,790,551,183,226,1571,848,917,550,187,230,821,513,1188,660,3463,1024,1752,829,479,406,430,342,9477,689,967,568,547,408,1101,554,942,536,1200,556,1710,679,1025,571,1061,512,640,440,284,282
BX39,BX39,BX39,21982,3729,2668,1366,19314,3442,63,232,1014,833,592,608,220,328,2325,1197,1426,969,263,351,942,742,1956,1001,5000,1722,3810,1811,1132,856,571,535,18954,975,4307,1335,2747,1107,3311,1263,2041,991,2541,1133,1642,859,1137,716,796,543,268,352,164,307
BX40,BX40,BX40,12472,1736,1898,799,10574,1642,10,74,502,364,355,301,203,233,1359,644,840,538,125,174,599,390,724,428,3080,868,1868,825,723,501,186,210,8970,405,1825,643,1005,458,1549,572,909,466,1457,545,1036,477,682,384,405,315,85,122,17,91
BX41,BX41,BX41,24907,3520,2698,1370,22209,3336,12,182,911,777,820,695,257,358,3189,1588,1666,1030,232,348,1503,963,2015,1115,6577,1837,3194,1580,1364,922,469,513,17597,765,2630,1111,2369,1051,2891,1219,1774,922,2737,1121,2596,1082,1286,764,890,624,302,384,122,243
BX43,BX43,BX43,20676,2951,2489,1264,18187,2781,0,106,1205,903,604,485,152,228,2381,1085,1248,837,291,327,1214,756,1569,885,5073,1472,2885,1358,1313,772,252,311,14505,738,1810,914,1552,809,1965,874,2123,932,2067,909,2428,1001,1041,694,1061,643,290,287,168,225
BX44,BX44,BX44,32885,5371,3985,1922,28900,5122,0,250,1394,1117,749,768,364,475,3276,1857,2541,1455,453,535,1590,1145,2624,1488,10550,3148,2645,1684,1408,1164,1306,968,22305,1332,2622,1342,1777,1119,2678,1359,2255,1354,2972,1522,4147,1672,2004,1146,2496,1243,782,735,572,600
BX46,BX46,BX46,17348,1862,1583,705,15765,1904,0,75,667,495,642,430,237,273,1061,622,1580,642,393,369,1094,646,1622,761,5594,1298,1765,941,345,320,765,475,12841,554,891,472,601,374,1419,682,1020,521,1851,714,3105,935,1532,548,1961,738,263,257,198,229
BX49,BX49,BX49,15848,2115,1474,801,14374,2027,0,113,729,587,831,564,246,301,1593,766,951,662,388,343,840,569,1321,771,4975,1265,1252,796,626,449,622,508,11276,560,894,528,578,413,998,592,960,553,1499,728,2259,796,1311,628,1743,801,496,391,538,358
BX52,BX52,BX52,23104,3374,1690,1051,21414,3245,29,203,1220,818,845,782,211,295,1572,956,1604,1053,444,453,1459,900,1634,913,7293,1989,2542,1401,1088,794,1473,923,16827,978,1351,753,1024,657,1592,888,1028,709,1685,912,2431,1104,1958,993,3126,1172,1431,789,1201,745
BX55,BX55,BX55,16047,2763,1952,896,14095,2579,0,118,1395,949,636,586,204,250,2399,1021,956,654,66,156,470,408,1059,642,3742,1114,2002,1084,934,635,232,258,11747,628,1842,787,1168,611,1934,771,1567,704,1500,728,1517,706,837,529,930,562,275,275,177,210
BX59,BX59,BX59,13858,2038,1485,655,12373,1879,0,94,754,541,300,237,259,291,1510,701,1312,631,247,270,812,518,860,467,3310,972,1863,769,595,424,551,410,9100,537,929,505,716,457,1023,506,906,509,983,507,1526,607,1085,559,1214,519,436,319,282,225
BX62,BX62,BX62,23598,3421,1888,1058,21710,3343,28,211,1143,812,530,497,230,334,1974,1121,1502,949,397,438,1378,827,2015,1115,8880,2234,1727,1119,978,753,928,701,15186,950,1230,751,833,635,1072,683,1339,817,1631,883,2749,1102,2076,985,2525,1057,867,620,864,622
BX63,BX63,BX63,17482,2431,1749,890,15733,2314,0,104,876,627,683,539,331,349,1916,1051,1022,611,266,318,879,557,1468,677,4369,1282,2449,1038,1008,634,466,370,13331,506,1986,753,1594,684,2284,808,1826,804,1820,784,1843,755,1042,563,600,419,176,210,160,211
BX75,BX75,BX75,9857,1722,1006,491,8851,1691,0,72,405,335,238,220,339,320,1067,609,695,456,178,248,485,347,744,445,3006,861,784,466,764,502,146,178,7849,407,1769,613,1143,466,1223,497,701,380,997,454,837,426,537,360,275,225,197,209,170,189
BX98,BX98,BX98,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
BX99,BX99,BX99,393,366,38,107,355,351,0,84,7,84,12,77,3,77,45,93,0,84,0,84,61,141,5,80,135,174,59,136,28,105,0,84,264,174,49,105,28,106,29,101,11,83,26,86,43,74,20,83,11,78,5,79,42,128
MN01,MN01,MN01,28317,3577,2374,1114,25943,3571,0,108,1031,822,809,636,587,492,2908,1303,1314,729,707,404,1554,873,3091,1228,7080,1739,4137,1953,2067,997,658,484,19706,746,1995,798,1414,737,2557,947,1928,991,1864,765,3338,1144,2749,1022,2311,813,690,413,860,490
MN03,MN03,MN03,44241,6038,5191,2222,39050,5659,0,232,1228,1138,911,831,525,622,3761,2185,2589,1652,1466,1085,3288,1768,5269,2188,10464,3185,5128,2322,2268,1551,2153,1548,36595,2072,4405,1857,4024,1797,4522,1928,3265,1663,3760,1736,5665,2132,3677,1767,3917,1772,1503,990,1857,933
MN04,MN04,MN04,31725,4050,2102,1164,29623,3908,0,121,1313,1003,819,822,605,572,2557,1154,982,738,1465,880,2087,1172,3880,1478,7019,2106,6347,2230,1716,929,833,611,19472,1050,1805,888,1373,729,1992,942,2107,986,2237,926,3164,1198,2341,993,2405,968,1028,675,1020,641
MN06,MN06,MN06,12024,1773,731,442,11293,1690,0,75,186,279,302,277,172,186,1331,691,421,384,409,316,681,541,1521,736,3328,914,2273,919,504,376,165,178,8498,458,1514,545,1047,531,808,507,825,444,1089,458,891,392,850,433,846,419,347,300,281,262
MN09,MN09,MN09,23745,3538,1430,772,22315,3437,41,161,413,401,567,477,103,190,1618,981,394,453,1433,895,1930,950,2842,1127,9330,2213,1865,970,1391,803,388,347,19186,1454,2788,1129,1257,770,1520,820,1461,855,1454,762,2337,993,1654,844,2314,917,1160,604,3241,943
MN11,MN11,MN11,27508,3607,1744,1014,25764,3527,0,140,639,552,841,666,289,359,1948,1109,1081,774,1285,761,2814,1181,3949,1494,7426,2085,3504,1469,1126,779,862,578,20268,1199,2589,1106,1884,954,1253,689,1408,818,2043,963,2445,1036,1970,935,2834,1148,1394,798,2448,910
MN12,MN12,MN12,78425,9218,3944,2346,74481,8902,21,274,1232,1356,1873,1504,1344,1382,3369,2158,1261,1212,5641,2718,12093,3907,17855,4945,18621,5288,6171,2932,2890,2015,2110,1728,64412,4622,4328,2496,2306,1672,3566,2114,3207,2175,4021,2236,6657,2964,5568,2570,9575,3197,6361,2732,18823,3989
MN13,MN13,MN13,53238,6294,2236,1547,51002,6248,27,224,482,648,1337,1123,967,899,3281,1928,822,928,4546,2294,11642,3670,12805,3492,8125,2842,4335,2149,1531,1286,1102,1007,43484,3188,3131,1688,1637,1181,2697,1534,1871,1340,2363,1389,4412,2004,3559,1842,6653,2504,4263,1927,12898,2928
MN14,MN14,MN14,37369,4387,1503,1079,35866,4299,59,181,307,374,1193,866,865,802,1950,1174,202,307,2539,1403,8487,2493,8227,2406,8083,2465,2519,1434,818,683,617,719,33700,2608,1895,1188,1058,794,1635,933,1547,959,1341,980,2907,1426,2957,1410,5381,1791,3611,1588,11368,2265
MN15,MN15,MN15,35983,4523,2033,1221,33950,4536,71,206,796,656,1235,977,762,640,2378,1251,673,735,2687,1338,6213,2111,7779,2181,4627,1690,4585,1881,1385,874,759,627,28685,2154,2159,1304,1618,896,2238,1202,2070,1046,2115,1147,2997,1244,2820,1273,4240,1507,2937,1213,5491,1634
MN17,MN17,MN17,18665,2813,762,614,17903,2766,0,209,218,395,510,484,470,537,1220,832,157,336,1237,801,5165,1499,4703,1611,2172,1021,1104,770,587,546,360,428,15743,1732,1274,710,605,440,885,632,624,560,906,667,1001,679,1284,782,2162,928,1793,888,5209,1289
MN19,MN19,MN19,33973,4120,920,705,33053,4053,3,151,235,360,1327,1101,840,716,1665,1043,482,532,2024,1212,8068,2418,9596,2784,5209,2042,1805,1129,805,681,994,742,29295,2569,1031,779,348,415,1412,940,955,742,1691,1019,3271,1448,2553,1225,4628,1693,3672,1491,9734,2025
MN20,MN20,MN20,32065,4232,1062,837,31003,4102,45,148,381,462,892,690,461,441,1636,1117,276,410,2074,1210,7564,2342,7583,2098,5710,1975,1923,1134,1431,1024,1027,864,26499,2086,1402,972,1339,924,1398,914,1289,822,1496,989,3102,1473,2464,1211,4305,1501,3188,1400,6516,1843
MN21,MN21,MN21,18600,2039,1006,507,17594,2028,0,68,153,211,542,410,250,210,1057,700,246,254,1530,909,4016,1116,4437,1118,3233,936,1100,628,726,453,304,305,13792,1163,622,409,391,317,688,418,588,436,685,411,1463,672,1407,617,2189,854,1666,638,4093,969
MN22,MN22,MN22,27379,2899,1502,860,25877,2941,37,134,279,393,640,572,295,300,1990,1029,461,406,2452,1122,3725,1454,6864,1812,4393,1595,3246,1498,1036,778,459,489,21725,1403,1880,1007,1124,772,1518,848,1829,986,1512,774,2760,1129,2224,971,3446,1236,1756,928,3676,1130
MN23,MN23,MN23,43505,4692,1884,1151,41621,4638,1,189,358,498,857,850,1014,818,3208,1484,400,580,3531,1621,8207,2727,10278,2732,7989,2424,3924,1740,1173,916,681,660,36154,2807,1388,947,900,727,1707,1114,1630,1129,2193,1331,3122,1510,3190,1390,5625,1951,4192,1706,12207,2563
MN24,MN24,MN24,26604,3227,900,631,25704,3164,10,141,228,276,576,510,709,610,1966,1090,306,330,1920,948,6612,1832,6458,1818,3363,1256,2518,1145,749,544,289,304,19663,1676,985,558,710,520,981,554,716,550,1098,724,1948,932,1639,872,2684,1061,1670,846,7232,1461
MN25,MN25,MN25,31373,2944,1066,681,30307,2904,0,109,157,233,509,413,481,448,1696,767,404,376,2078,861,8091,1817,9820,1860,4115,1326,1593,889,745,512,618,451,21823,1662,1097,638,366,350,670,408,409,362,739,475,1535,700,1511,684,3862,1276,2877,969,8757,1602
MN27,MN27,MN27,22120,2948,1560,868,20560,2770,17,130,655,622,976,712,442,457,2134,1056,736,561,1058,615,1865,833,3772,1231,3834,1374,3597,1432,1036,661,438,378,18466,1166,2299,991,1996,866,2653,1029,1750,829,1767,831,2323,910,1765,857,1715,746,930,530,1268,557
MN28,MN28,MN28,30126,4473,1949,1257,28177,4286,51,258,515,589,901,760,514,582,2017,1307,1322,1039,1607,1013,2887,1569,5505,2065,7065,2432,3759,1781,1264,877,770,724,31641,1630,5232,1967,4524,1837,4502,1722,2524,1299,3420,1560,3416,1678,1751,953,3057,1302,1159,726,2056,934
MN31,MN31,MN31,49596,5954,1138,880,48458,5885,0,163,807,980,1113,983,2080,1727,2865,1703,436,531,3084,1832,10188,3477,9368,3050,13136,3476,2605,1641,1636,1382,1140,1081,42259,3512,2026,1445,769,713,2045,1566,1577,1148,2397,1296,5609,2335,4994,2141,6990,2548,4143,1851,11709,3062
MN32,MN32,MN32,51960,5792,1681,1102,50279,5746,0,154,865,945,1538,1158,976,820,2196,1301,1008,935,3977,2241,10112,3053,11422,3021,11650,3494,2950,1899,2334,1579,1251,974,41994,2908,1700,1037,985,959,2162,1230,1439,1145,2572,1524,5534,2112,4886,1967,8064,2404,4241,1770,10411,2533
MN33,MN33,MN33,28529,3875,2893,1385,25636,3696,39,177,706,610,851,630,357,404,2401,1269,863,583,1045,679,2472,1176,3824,1501,7807,2257,2902,1377,1481,945,888,743,24813,1390,3513,1315,2788,1158,3351,1349,2078,1062,2599,1214,3407,1322,2344,1051,1899,857,1077,656,1757,704
MN34,MN34,MN34,26323,4006,2403,1267,23920,3919,34,188,579,619,656,631,314,419,2956,1747,1462,1067,816,774,1688,1092,2249,1186,6588,2030,4351,2034,1205,950,1022,803,25172,1364,4800,1643,3140,1372,3368,1432,2515,1230,2788,1373,3420,1444,2022,1039,1623,866,631,559,865,682
MN35,MN35,MN35,39862,4651,3996,1809,35866,4354,0,169,1241,1075,1412,922,585,570,3154,1440,1510,1036,1579,862,2736,1309,4739,1644,10309,2473,5160,2064,2847,1347,594,474,26005,1254,2118,1016,1653,850,2757,1238,2175,1094,3523,1355,4474,1463,3164,1187,3660,1274,1276,638,1205,630
MN36,MN36,MN36,53735,7282,4897,2020,48838,7139,21,193,2090,1490,1873,1317,1084,916,4515,2108,2780,1699,1576,1034,2835,1538,5143,2092,13269,3438,9336,3469,3366,1842,950,779,30589,1473,2892,1343,2790,1352,3167,1412,2863,1361,3386,1407,5288,1695,3149,1328,4275,1619,1822,1045,957,688
MN40,MN40,MN40,29933,3944,921,654,29012,3886,19,201,284,407,724,663,991,793,1557,1020,460,541,1794,975,8064,2229,6733,2008,5230,1746,1582,1020,929,743,645,634,27941,2368,1067,834,438,521,914,648,1124,824,1125,818,2222,1171,2287,1223,3437,1291,2844,1244,12483,2303
MN50,MN50,MN50,14026,1289,337,245,13689,1312,0,36,266,258,333,306,334,264,904,510,222,200,886,426,1762,570,3709,831,3052,842,1145,545,493,305,583,293,10553,406,587,303,153,155,369,249,360,250,942,484,1171,459,1098,467,2254,666,761,332,2858,649
MN99,MN99,MN99,389,255,133,193,256,211,0,84,7,89,8,90,0,84,40,109,6,86,0,84,0,84,56,120,73,137,37,113,29,125,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84
QN01,QN01,QN01,22073,3508,3294,1449,18779,3069,15,186,1083,784,377,382,374,463,2064,952,2545,1185,423,416,820,606,1566,790,5412,1662,1792,1042,883,633,1425,802,12277,966,832,557,792,537,1284,692,1029,664,1576,829,2250,919,1647,781,1661,754,752,560,454,364
QN02,QN02,QN02,13966,1551,709,371,13257,1515,17,65,420,307,333,326,235,278,1084,656,1547,587,232,207,1060,495,1011,480,4633,934,917,455,376,258,1392,581,10635,408,638,354,358,260,979,402,794,400,1384,531,2480,713,1298,578,2051,618,387,229,266,219
QN03,QN03,QN03,11144,1442,837,482,10307,1359,0,70,349,251,217,195,138,155,927,444,1300,568,82,131,619,324,787,445,3615,873,968,520,596,394,709,368,5962,393,182,169,163,176,281,216,369,282,697,371,915,383,1240,459,1077,414,754,378,284,194
QN05,QN05,QN05,14363,1956,818,401,13545,1951,7,80,709,421,209,201,125,134,1552,633,1663,663,258,247,628,328,1055,531,5238,1210,793,418,299,255,1009,492,7629,518,256,210,317,322,375,303,392,282,590,377,1122,426,1276,475,1836,629,866,424,599,339
QN06,QN06,QN06,14360,2014,996,637,13364,1955,11,109,699,528,474,361,409,384,1344,645,1095,563,373,326,1021,634,1179,595,4127,1075,1004,617,913,578,715,461,9338,606,240,228,279,257,834,494,661,407,1240,529,1742,630,1178,585,1411,599,753,410,1000,439
QN07,QN07,QN07,12104,1822,896,527,11208,1752,0,113,682,503,186,170,163,189,1236,666,1399,680,265,268,624,412,1046,561,3601,1116,892,561,600,385,514,385,6298,489,303,268,239,217,543,301,393,303,567,360,1138,534,906,501,1031,450,706,367,472,314
QN08,QN08,QN08,28518,4230,2255,1241,26263,3996,28,295,914,733,404,482,196,376,2426,1280,2904,1323,653,616,1737,1069,1961,1088,9992,2366,1789,1139,1030,858,2229,1164,15701,1097,628,588,646,567,899,673,1206,751,1543,874,2705,1149,2276,1066,3205,1190,1487,827,1106,740
QN10,QN10,QN10,13111,1743,703,484,12408,1648,0,101,945,552,239,239,192,239,830,490,862,515,262,272,1070,523,1049,516,4292,1084,662,435,586,367,1419,654,10870,871,573,403,426,328,641,434,695,440,945,507,1663,681,1460,656,1743,685,1307,553,1417,485
QN12,QN12,QN12,18089,2711,2080,1028,16009,2610,12,118,1281,787,451,460,152,227,1325,713,1321,769,358,391,815,538,1685,806,5200,1549,1617,901,920,608,872,549,13922,779,1609,786,1058,615,1917,797,1377,755,1928,847,2026,847,1250,637,1468,753,757,490,532,414
QN15,QN15,QN15,24481,3780,2031,1299,22450,3564,33,149,1298,807,658,646,379,481,1913,1020,1867,1159,270,316,1296,850,2439,1104,8715,2376,1389,936,1464,992,729,634,17288,1028,1937,916,1370,757,1540,760,1568,926,2195,1010,3196,1217,1732,907,2002,957,988,640,760,561
QN17,QN17,QN17,47777,5824,2148,1459,45629,5694,18,334,1545,1265,1641,1204,1186,1089,3662,1940,2074,1423,1585,1221,6232,2450,8156,2832,11964,3429,2989,1804,2708,1663,1869,1257,39815,2216,2398,1585,1783,1295,3073,1672,2495,1612,3110,1654,6370,2427,5235,2122,7031,2390,3925,1829,4395,1709
QN18,QN18,QN18,14677,1875,613,405,14064,1821,37,140,450,413,557,391,500,400,1044,572,944,501,523,365,1616,777,2071,730,3745,1025,1121,570,1035,593,421,321,12302,736,1013,536,529,367,1269,598,896,461,1362,591,1885,630,1591,629,1975,699,1012,514,770,388
QN19,QN19,QN19,18586,2541,836,541,17750,2444,11,155,1748,884,660,493,614,483,1307,732,1571,816,388,392,1725,874,1828,880,4177,1256,1899,967,880,577,942,634,11985,825,517,411,414,400,719,497,754,506,1110,636,2104,864,2119,853,2451,893,999,563,798,524
QN20,QN20,QN20,41336,5018,2123,1224,39213,4985,76,304,4341,1948,1998,1211,687,690,3808,1687,2738,1447,1004,792,2478,1377,4633,1926,8264,2481,5503,2278,2584,1442,1099,863,24322,1465,1489,984,878,737,1826,1074,1998,1116,2993,1349,4097,1591,3711,1495,4676,1617,1583,1027,1071,854
QN21,QN21,QN21,21144,3123,1009,722,20135,3024,17,216,1650,915,1002,744,588,572,1476,900,1540,899,509,461,2133,1005,2504,1205,5263,1698,1459,882,1185,873,809,610,14814,1112,796,627,417,406,1010,690,1106,735,1527,794,2371,1027,1805,878,2911,1022,1734,863,1137,633
QN22,QN22,QN22,33885,4849,1264,897,32621,4725,75,270,1932,1284,1257,916,951,863,3117,1539,1936,1151,485,533,2803,1393,2974,1454,6598,2132,6003,2486,3941,1841,549,598,26308,1726,3290,1504,2069,1169,3566,1483,3541,1469,3710,1515,3887,1516,2223,1096,2245,1228,1041,863,736,630
QN23,QN23,QN23,11785,1653,493,344,11292,1599,0,87,1211,607,614,417,386,310,1241,630,1152,562,154,181,716,371,1185,534,2134,807,1164,550,926,523,409,325,7737,615,414,312,214,218,811,448,884,481,978,473,1492,551,926,444,1230,481,471,289,317,224
QN25,QN25,QN25,28924,4629,1349,980,27575,4407,26,169,3416,1619,1251,898,804,669,3132,1513,2271,1171,562,633,951,687,2492,1416,4780,1845,5189,2139,1927,1062,774,578,16451,1209,1185,836,812,636,1700,1053,2021,1066,2832,1159,2932,1251,2300,1154,1886,925,537,461,246,296
QN26,QN26,QN26,28382,3988,1423,701,26959,3848,54,163,5165,1679,1672,935,505,438,2507,1031,1485,781,260,291,860,560,1695,765,3120,1186,5940,1804,3420,1280,276,301,12045,851,480,391,532,397,1280,651,1250,622,1842,747,2426,857,1793,750,1644,706,479,412,319,312
QN27,QN27,QN27,9442,1675,635,383,8807,1595,0,96,1015,479,421,303,108,138,885,432,781,412,165,173,421,297,902,482,1830,620,1476,639,594,361,209,194,5541,564,426,296,215,182,592,332,607,337,864,372,870,395,721,371,816,359,236,191,194,174
QN28,QN28,QN28,52924,7820,2742,1764,50182,7622,32,299,3965,2336,1833,1352,961,926,4861,2580,5172,2781,1191,975,3315,1768,6220,2692,8682,3045,8490,3467,3768,2084,1692,1371,35555,2670,1854,1248,1555,1228,3403,1769,3989,1932,5045,2245,6849,2526,4358,2007,4555,1921,2217,1424,1730,1068
QN29,QN29,QN29,44153,6779,2131,1296,42022,6461,0,234,3508,1856,1630,1134,784,759,4411,1928,3062,1579,726,703,2405,1338,4371,1903,7401,2578,8833,3491,3972,1937,919,864,26304,1918,1937,1192,971,754,3325,1576,3051,1549,3888,1662,5395,1918,2851,1376,2980,1253,1102,825,804,633
QN30,QN30,QN30,16430,2350,921,597,15509,2247,20,173,2211,914,748,527,471,411,1175,598,973,562,295,308,1222,670,1653,829,3406,1123,1608,893,1108,701,619,449,10768,886,432,383,431,361,908,547,832,554,1071,542,1821,761,1530,690,2076,841,949,556,718,455
QN31,QN31,QN31,43994,5266,1915,1073,42079,5077,59,300,2156,1318,1534,1039,766,641,3538,1674,2941,1530,2138,1177,4297,1580,7528,2279,7190,2095,6111,2405,2234,1388,1587,1132,29512,2027,1206,903,902,731,1941,1103,2348,1166,3245,1422,5143,1856,3612,1494,5084,1705,2416,1150,3615,1133
QN33,QN33,QN33,11675,1701,740,506,10935,1632,0,156,469,384,182,217,106,174,963,501,1313,698,256,265,693,441,827,488,4124,1063,682,524,280,272,1040,585,6336,372,260,257,129,184,225,222,363,278,455,335,954,487,926,478,1476,583,839,431,709,429
QN34,QN34,QN34,30068,4499,2924,1461,27144,4251,47,280,1439,888,1005,779,405,414,2897,1445,3067,1382,632,622,1818,1035,2321,1152,8740,2455,2006,1165,1185,838,1582,889,15428,1160,650,575,549,535,1072,730,1331,826,1582,930,2266,1033,2258,1085,3022,1169,1624,824,1074,694
QN35,QN35,QN35,24099,3231,2072,1149,22027,3003,0,152,1417,928,750,563,393,385,2653,1109,1890,866,409,420,2023,928,1761,811,5536,1522,2829,1324,1478,857,888,623,14326,806,857,590,462,400,1289,709,1335,710,1457,702,2659,889,1907,787,2455,900,975,597,930,620
QN37,QN37,QN37,18150,2571,1151,716,16999,2423,0,118,879,686,509,426,356,357,1190,648,999,633,412,374,1541,833,1611,820,5945,1596,1754,903,1039,710,764,603,13019,897,581,402,573,429,1338,725,1093,624,1330,796,2216,936,1933,848,2155,876,1097,739,703,434
QN38,QN38,QN38,18228,2614,2007,906,16221,2398,19,111,1416,757,449,372,628,478,1761,975,1138,739,278,295,1505,843,1271,639,4108,1269,1695,918,1248,757,705,450,12175,682,1103,538,623,434,1139,629,1354,651,1640,730,1877,809,1337,619,1538,700,825,509,739,416
QN41,QN41,QN41,9738,1150,697,323,9041,1098,13,58,281,259,264,191,465,316,1153,509,573,262,251,198,1122,422,1081,344,2203,596,693,373,594,372,348,236,6653,301,398,225,183,168,398,243,550,288,651,302,1123,376,819,344,1150,393,817,299,564,242
QN42,QN42,QN42,15555,1841,754,504,14801,1757,30,105,1032,606,423,304,670,420,1801,771,1089,609,361,253,1386,635,1631,664,3606,1011,1050,540,850,566,872,504,11348,532,571,383,243,227,709,379,927,465,1088,481,2081,680,1186,509,2452,708,1174,584,917,381
QN43,QN43,QN43,13781,1550,661,420,13120,1513,8,84,749,485,456,302,244,193,1306,565,1695,626,245,211,1094,468,1445,597,3514,892,1095,707,546,302,723,401,8221,450,353,245,334,239,372,241,366,254,809,395,1281,464,1153,432,1772,522,1045,426,736,331
QN44,QN44,QN44,11602,1407,540,320,11062,1322,9,72,453,333,284,232,305,267,1240,619,1079,498,136,159,925,389,1216,528,3710,927,587,335,462,380,656,361,9023,636,210,165,336,427,447,285,801,439,712,369,1422,563,1351,490,1942,499,958,457,844,429
QN45,QN45,QN45,12901,1738,556,367,12345,1717,19,95,626,358,476,350,240,220,1265,681,896,466,355,278,1616,682,1529,668,2977,844,920,532,836,482,590,319,9812,498,341,272,140,156,508,352,798,466,775,445,1639,593,1158,493,2229,654,1086,514,1138,442
QN46,QN46,QN46,22505,2929,875,690,21630,2808,0,216,1281,845,935,662,855,674,2044,1063,1129,680,759,583,2415,1065,2515,1103,5521,1571,1865,1036,1379,834,932,648,15475,1056,537,457,408,455,1001,643,1031,655,1389,794,2401,1010,2186,950,3223,1188,1540,723,1759,751
QN47,QN47,QN47,10873,1355,488,384,10385,1310,0,82,648,374,404,325,441,350,930,476,523,347,421,300,1028,535,1629,745,2714,820,735,463,436,384,476,361,10160,601,526,335,394,294,659,360,556,373,823,440,1624,568,1635,555,1643,583,1331,538,969,474
QN48,QN48,QN48,10445,1448,497,351,9948,1339,0,89,760,466,312,235,349,245,1022,482,669,353,178,152,951,428,1093,444,2547,738,906,506,833,478,328,230,7006,430,397,305,173,198,478,279,366,245,781,382,1339,474,864,386,1379,464,639,301,590,323
QN49,QN49,QN49,15676,2158,842,441,14834,2080,43,130,1350,673,697,481,441,359,1597,810,849,486,367,325,1722,680,1679,745,3561,1138,1275,661,654,458,599,362,11176,742,329,253,361,270,791,442,734,442,1042,506,1546,641,1653,635,2346,731,1200,533,1174,559
QN50,QN50,QN50,13178,1968,462,297,12716,1933,42,98,714,518,371,285,392,273,1478,684,1630,674,185,177,1112,472,1196,557,2127,705,2137,853,1073,518,259,196,7795,593,169,181,416,289,798,379,647,338,1098,432,1676,543,1013,414,1092,426,555,321,331,212
QN51,QN51,QN51,24036,3401,1012,690,23024,3278,56,220,1437,883,860,670,600,462,2684,1210,1516,819,585,463,1877,945,2319,1077,4450,1480,3234,1441,2644,1216,762,557,17425,1173,1428,750,802,543,2364,1047,1786,825,1856,878,2980,1094,1981,928,2293,959,928,545,1007,590
QN52,QN52,QN52,12266,2071,512,387,11754,2000,11,137,824,559,504,426,245,216,1240,657,936,495,208,215,873,491,876,498,2619,889,1595,815,1510,750,313,264,8275,711,525,359,568,408,984,522,829,456,1368,631,1052,533,866,480,1259,556,469,283,355,270
