NTACode,NTACode,NTACode,Civilian labor force estimates,Civilian labor force error,Unemployment estimates,Unemployment error,Employed estimates,Employed error,"Agriculture, forestry, fishing and hunting, and mining estimates","Agriculture, forestry, fishing and hunting, and mining error",Construction estimates,Construction error,Manufacturing estimates,Manufacturing error,Wholesale trade estimates,Wholesale trade error,Retail trade estimates,Retail trade error,"Transportation and warehousing, and utilities estimates","Transportation and warehousing, and utilities error",Information estimates,Information error,"Finance and insurance, and real estate and rental and leasing estimates","Finance and insurance, and real estate and rental and leasing error","Professional, scientific, and management, and administrative and waste management services estimates","Professional, scientific, and management, and administrative and waste management services error","Educational services, and health care and social assistance estimates","Educational services, and health care and social assistance error","Arts, entertainment, and recreation, and accommodation and food services estimates","Arts, entertainment, and recreation, and accommodation and food services error","Other services, except public administration estimates","Other services, except public administration error",Public administration estimates,Public administration error,Total households estimates,Total households error,"Less than 10,000 estimates","Less than 10,000 error","10,000 to 14,999 estimates","10,000 to 14,999 error","15,000 to 24,999 estimates","15,000 to 24,999 error","25,000 to 34,999 estimates","25,000 to 34,999 error","35,000 to 49,999 estimates","35,000 to 49,999 error","50,000 to 74,999 estimates","50,000 to 74,999 error","75,000 to 99,999 estimates","75,000 to 99,999 error","100,000 to 149,999 estimates","100,000 to 149,999 error","150,000 to 199,999 estimates","150,000 to 199,999 error","200,000 or more estimates","200,000 or more error"
BK37,BK37,BK37,46362,5059,1948,1168,44414,4961,39,286,800,745,1017,766,673,649,3009,1504,556,511,4417,1750,4721,1917,11175,3110,10225,2815,4385,1979,1883,1169,1514,1050,30941,2080,1207,923,570,619,964,782,1024,828,1745,1108,2841,1361,3702,1559,5951,1834,4324,1684,8613,2052
BK38,BK38,BK38,26975,2692,2160,1119,24815,2454,18,159,657,510,840,563,316,298,2079,945,415,400,1885,757,3144,998,6119,1481,5102,1393,2212,971,973,565,1055,629,19205,1112,1718,730,666,440,1542,718,1151,685,1121,643,1567,759,1526,719,3074,982,2114,797,4726,1018
BK40,BK40,BK40,12891,1421,425,298,12466,1394,0,77,157,156,337,283,351,313,596,388,345,264,1139,518,966,431,2768,807,3251,814,1222,557,658,383,676,402,9281,475,439,329,242,190,465,316,449,269,623,393,1127,545,1349,534,1807,575,1028,456,1752,526
BK41,BK41,BK41,16914,2022,1133,631,15781,1877,64,179,966,620,422,310,397,340,1489,696,1277,670,717,396,931,532,1787,698,4735,1182,1798,822,762,511,436,335,12086,677,492,399,917,485,1294,618,977,528,1644,668,2070,744,1467,624,1861,666,719,385,645,389
BK42,BK42,BK42,55781,6719,3891,2146,51890,6408,17,352,2441,1749,1353,1176,817,840,4861,2474,3985,2307,2133,1367,3626,1905,5807,2458,16844,4136,5567,2509,2675,1809,1764,1400,38816,2091,3067,1728,2480,1511,3779,1898,3696,1889,4505,2045,7601,2592,4780,2174,4862,2192,1938,1233,2108,1183
BK43,BK43,BK43,23877,3253,1550,969,22327,3174,11,222,1194,885,878,743,980,685,1892,1049,1628,993,406,458,2025,1073,2549,1216,8003,2138,1343,930,804,692,614,499,18684,1208,1327,802,1808,909,1865,991,1635,868,2030,957,2968,1226,1866,943,2389,1035,1239,700,1557,841
BK44,BK44,BK44,19676,2463,970,638,18706,2356,26,196,1047,711,653,498,1015,654,1799,893,1182,682,580,474,1526,732,2202,939,5817,1476,1405,766,757,508,697,540,14902,915,941,576,826,509,1349,680,1081,623,1703,780,2228,886,1784,750,2508,895,1037,623,1445,687
BK45,BK45,BK45,22924,3164,1188,750,21736,3061,4,232,1234,851,614,566,539,580,2119,1109,1739,991,454,443,1766,950,2408,1176,7458,1855,1468,985,765,633,1168,741,16476,1166,515,486,554,483,945,695,1215,771,1569,897,2199,1039,2261,1035,3236,1204,2038,936,1944,888
BK46,BK46,BK46,8459,1290,433,317,8026,1249,17,111,314,258,379,324,364,253,754,394,469,379,157,151,630,402,949,431,2924,805,522,366,303,237,244,215,6752,541,508,306,510,294,712,375,705,384,680,389,1057,455,609,316,843,377,299,198,829,364
BK50,BK50,BK50,45430,6600,2729,1719,42701,6185,43,429,2159,1553,632,727,554,769,3685,1941,4670,2269,908,943,2314,1472,3175,1842,18185,3914,2629,1727,1196,1079,2551,1622,29227,1889,1910,1174,1275,1029,2416,1408,2286,1396,3388,1799,4545,1983,4322,1937,5240,2064,2261,1330,1584,1108
